gene,causal_evidence_tier,direction_inhibit_or_activate,druggability_tier,druggability_detail,OT_SM_buckets,OT_AB_buckets,OT_PR_buckets,OT_OC_buckets,depmap_classification,depmap_mean_chronos,depmap_pct_dependent,depmap_flag,in_clinical_trials,cross_ancestry,novelty_score,overall_rank,evidence_summary
MUC5B,Tier1_Strong,Inhibit,Tier3_ASO,"Mucin; SpliSense SPL5B inhaled ASO entering Phase 1 mid-2026; no SM ligands",0,3,0,0,Not_Essential,-0.037,0.2%,No,SPL5B_Phase1_2026,Moderate_EUR_high_EAS_low,Low,1,"GWAS OR=4.11 (rs35705950) p<1e-121 (Chin 2025 PMID:39974050); TWAS p=1.09e-28 lung; coloc PP.H4=1.00; SpliSense SPL5B ASO entering Phase 1; platform validated by SPL84 CF Phase 2 success (Sep 2025)"
DPP9,Tier1_Strong,PARADOX_inhibition_worsens_IPF_downstream_targets_needed,Tier1_SelectiveInhibitors,"Serine protease; Cpd 42/47 Ki~nM 93-176x DPP9/DPP8 selectivity >1000x DPP4 (JMedChem 2023 DOI:10.1021/acs.jmedchem.3c00609); F253 key selectivity residue (ChemMedChem 2025 DOI:10.1002/cmdc.202400700); CRITICAL PK: Cpd42 only 2% oral bioavail <45min t1/2 (Nguyen 2025 CMLS); Cpd 6e oral bioavail+long t1/2 (JMedChem 2025); DOWNSTREAM ALTERNATIVES: ADS032 dual NLRP1/NLRP3 inhibitor (CTI 2023 PMID:37360982); disulfiram GSDMD inhibitor (NatImmunol PMID:32367036); anakinra/canakinumab IL-1β blockade; pinocembrin DPP9 transcriptional activator (ImmunolRes 2025)",3,0,3,0,Not_Essential,-0.059,0.3%,No,No_IPF_trial,Moderate_EUR,Very_High,2,"GWAS p=1.7e-12; coloc PP.H4=0.968 fibroblasts (Dalapati 2025 PMID:39876559; published revision of 0.989 preprint value); DPP9 decreased in AT2+monocytes but INCREASED in myofibroblasts (scRNA); STRUCTURAL: cryo-EM 2:1 NLRP1:DPP9 ternary complex at 3.6A (PDB 6X6A/6X6C Hollingsworth Nature 2021 PMID:33731932; PDB 7CRW Huang Nature 2021 PMID:33731929); ZU5 domain autoinhibits NLRP1-CT; DPP9 sequesters freed CT fragments preventing inflammasome assembly; both catalytic+scaffolding functions required (Zhong JBC 2018 PMID:30291141); PARADOX RESOLVED: DPP9 inhibition WRONG for IPF — activates NLRP1→pyroptosis→IL-1β; Dpp9-S759A mice die within 24h (rescued by single-copy Nlrp1/Asc/Gsdmd/Il-1r deletion; Harapas SciImmunol 2022 PMID:36112693); CELL-TYPE COMPLEXITY: DPP9 ↓AT2+monocytes=inflammasome derepression vs DPP9 ↑myofibroblasts=EMT promotion (TGF-β1/Smad; TC-E5007 reverses renal EMT PMID:33932609); THERAPEUTIC STRATEGY: target DOWNSTREAM — (1) ADS032 NLRP1/NLRP3 dual inhibitor advanced preclinical (2) disulfiram/DMF GSDMD inhibitors FDA-approved repurposing (3) anakinra/canakinumab IL-1β blockade approved safe never tested IPF — BIGGEST TRANSLATIONAL GAP"
DSP,Tier1_Strong,Inhibit,Tier3_StructuralTarget,"Structural protein; OT shows HQ druggable pocket (DrugEBIlity>=0.7); ASO possible",2,2,2,0,Not_Essential,-0.077,0.5%,No,No,Low_EUR_only,Medium,3,"GWAS OR=1.44 p=7.81e-28; TWAS p=1.35e-29 lung; coloc CLPP=1.00 controls; OT: HQ druggable pocket; 6 total tractability buckets; confirmed Chin 2025"
IL7,Tier2_Moderate,Activate,Tier1_ClinicalGradeRecombinant,"Recombinant IL-7 (CYT107) safe in >650 patients; oncology CR doubling (urothelial 2024 PMID:39576210); new NCT07308886 registered",0,3,0,0,Not_Essential,0.100,0.0%,No,No_IPF_trial,Unknown_EUR_eQTL,Very_High,4,"MR OR=0.67 protective (Liu 2024 PMID:38783236); coloc PP.H4=0.84; IL-7 inhibits fibroblast TGF-beta via JAK1/STAT1/Smad7; CYT107 safe in COVID lung (JCI Insight 2024); DepMap: 0% dependent — VERY SAFE; strongest novel repurposing candidate"
DEPTOR,Tier2_Moderate,Activate,Tier2_mTOR_pathway,"mTOR negative regulator; sirolimus pilot showed 35% fibrocyte decline (PMID:36853800); no direct DEPTOR ligands",1,1,3,0,Strongly_Selective,-0.046,0.3%,Caution_selective,Sirolimus_pilot_done,Moderate_replicated,High,5,"GWAS OR=0.82 (PMID:31710517); TWAS p=8.58e-9 lung; sirolimus crossover IPF: 35% fibrocyte suppression (JCI Insight 2023); converges with NPRL3; DepMap strongly selective (0.3%); OT: 5 tractability buckets including 3 PROTAC"
ACVRL1,Tier2_Moderate,Context_dependent,Tier1_AdvancedClinical,"ALK1; sotatercept (Winrevair) FDA-approved PAH March 2024; MOST TRACTABLE target (10 OT buckets); dalantercept tested oncology",5,4,1,0,Strongly_Selective,0.044,0.3%,Caution_selective,Sotatercept_approved_PAH,Unknown,Very_High,6,"MR causal link confirmed (BiochemGenet 2026); sotatercept FDA-approved PAH 2024; investigated for PH-IPF; 10 OT tractability buckets (HIGHEST); HHT gene — safety: telangiectasia/epistaxis risk; DepMap strongly selective (0.3%)"
AKAP13,Tier2_Moderate,Inhibit,Tier2_Pathway_ROCK_in_IPF_trial,"RhoA-GEF; zelasudil (RXC007) ROCK inhibitor Phase 2a IPF ACTIVE (hold lifted March 2026 Redx Pharma); fasudil/ripasudil approved other indications",1,1,2,0,Strongly_Selective,0.011,0.8%,Caution_selective,Zelasudil_Phase2a_IPF_2026,Moderate_confirmed_2025,High,7,"GWAS OR=1.27; 1.42x higher expression in IPF lung; RhoA signaling; confirmed Chin 2025; SESSION 5 UPDATE: zelasudil (RXC007) Phase 2a IPF partial clinical hold LIFTED (Redx Pharma March 2026) — first ROCK inhibitor in active IPF trial; AKAP13→RhoA→ROCK pathway now has direct genetic-clinical convergence"
ATP11A,Tier2_Moderate,Inhibit,Tier3_ToolCompoundsOnly,"P4-ATPase flippase; druggable P-type ATPase family; no specific ATP11A inhibitors",0,3,2,0,Not_Essential,0.014,0.0%,No,No,Moderate_shared_COVID,High,8,"GWAS p=6.7e-9; coloc PP.H4=0.996 smoker lung + 0.994 monocytes (VERY STRONG); TLR4 innate immune; DepMap 0% dependent — VERY SAFE; antibody tractable via membrane localization"
FKBP5,Tier2_Moderate,Inhibit,Tier1_AdvancedCompounds,"SAFit2 Ki=6nM >10000x selective; macrocyclic inhibitors (AngewChem 2025); tested MS (JNeuroinflammation 2026) pain (PNAS 2025) osteoporosis (2025)",3,0,4,0,Not_Essential,0.058,0.0%,No,No_IPF_trial,Multi_ancestry_GBMI,High,9,"GWAS p=3.33e-8 (GBMI); SAFit2 expanding therapeutic profile: MS 2026 pain 2025 osteoporosis 2025; 7 OT tractability buckets; DepMap 0% dependent; no IPF fibrosis model tested; 4 PROTAC buckets (exceptional)"
TERT,Tier1_Strong,Activate,Tier2_ClinicalStageCompounds,"Imetelstat (Rytelo) FDA-approved MDS 2024 (inhibitor wrong direction); BIBR1532; TA-65/danazol for activation",2,1,2,1,Strongly_Selective,-0.063,1.7%,Caution_selective,No_IPF_trial,High_best_cross_ancestry,Low,10,"GWAS p=2.2e-14; telomere maintenance; DepMap: strongly selective 1.7% (NOT common essential — corrected from prior overestimate); activation needed but pharmacologically challenging; imetelstat wrong direction; cross-ancestry validated EUR+EAS+AMR"
